rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
3B4/p1R1R1p1/P1PkP1P1/1p1N4/1p4P1/1P2PB1p/5Ppr/6K1 w - - acn 19811; acs 0; bm Kxh2 Rcd7+ Red7+; ce 32756; dm 6; pv Red7+ Ke5 Kxh2 g1=Q+ Kxg1 h2+ Kh1 Kxe6 Nf4+ Ke5 Rd5#;
3B4/kp5p/p1p3r1/5Q2/1P6/7P/1q4P1/R6K w - - acn 15836; acs 0; bm Rxa6+; ce 32756; dm 6; pv Rxa6+ bxa6 Qd7+ Kb8 Qc7+ Ka8 Qc8+ Ka7 Bb6+ Kxb6 Qb8#;
3B4/Pk1K1R2/1p3p1p/pPP2p2/p7/4Pq1p/2Pb2pP/8 w - - acn 40841; acs 0; bm Kd6+; ce 32756; dm 6; pv Kd6+ Kc8 Bc7 Qg3+ hxg3 Kb7 Bxb6+ Ka8 Rf8+ Kb7 a8=Q#;
3B4/P2n4/8/2Pk4/5K2/7B/8/8 w - - acn 381681; acs 1; bm Bxd7 a8=Q+; ce 32756; dm 6; pv a8=Q+ Kxc5 Qc8+ Kb4 Bxd7 Kb3 Qc1 Kb4 Qc2 Ka3 Be7#;
3B4/N3K3/8/3k4/2p5/2P1p1N1/4P3/8 w - - acn 146347; acs 0; bm Bb6; ce 32756; dm 6; pv Bb6 Ke5 Bxe3 Kd5 Bb6 Ke5 e3 Kd5 e4+ Ke5 Bc7#;
3B4/K1p2p2/2Pp1P2/3Pkq2/pN1R4/P3P1N1/8/1B6 w - - acn 196619; acs 0; bm Be4; ce 32756; dm 6; pv Be4 Qf1 Bg6 Qb1 Bd3 Qh1 Bc2 Qh7 Be4 Qg7 Nd3#;
3B4/8/qrPp1r2/3P1p2/1NbknN2/8/3Pn3/b4K2 b - - acn 33524; acs 0; bm Nxf4+; ce 32756; dm 6; pv Nxf4+ d3 Bxd3+ Kg1 Rg6+ Bg5 Rxg5+ Kh1 Nf2+ Kh2 Rg2#;
3B4/8/b6K/r3R3/1R5P/7k/4B3/8 w - - acn 674994; acs 1; bm Bxa5 Rxa5; ce 32756; dm 6; pv Bxa5 Bd3 Re3+ Kg2 Bxd3 Kf2 Bb6 Kg2 Rb2+ Kg1 Re1#;
3B4/8/8/8/kp1N4/8/1KP5/8 w - - acn 108422; acs 0; bm Bb6; ce 32756; dm 6; pv Bb6 b3 cxb3+ Kb4 Kc2 Ka3 Ne2 Ka2 Nc1+ Ka3 Bc5#;
3B4/8/8/1k6/1p6/8/2BN4/1R2K3 w - - acn 1355524; acs 2; bm Bb3 Rc1; ce 32756; dm 6; pv Bb3 Kc5 Rc1+ Kb5 Ne4 Ka6 Nc5+ Ka7 Bc7 Ka8 Ra1#;
3B4/8/7p/1n1BkN1P/2ppP1K1/1bb1ppp1/2N2r2/8 w - - acn 177091; acs 0; bm Bh4; ce 32756; dm 6; pv Bh4 Rg2 Ne1 Bd1 Nd3+ cxd3 Bf6+ Kxf6 Kf4 f2 e5#;
3B4/8/4qr2/4kN2/6n1/2K5/8/8 b - - acn 949807; acs 1; bm Qc8+ Rxf5; ce 32756; dm 6; pv Qc8+ Bc7+ Qxc7+ Kd3 Rxf5 Kd2 Rf2+ Kd1 Qc2+ Ke1 Qc1#;
3B4/8/4N3/2p2Kp1/8/4k3/2R5/8 w - - acn 1991986; acs 3; bm Nxc5; ce 32756; dm 6; pv Nxc5 g4 Bg5+ Kd4 Na6 g3 Nb4 g2 Kf4 g1=Q Bf6#;
3B4/8/3k4/8/3p4/3K4/3n4/3Q4 w - - acn 449635; acs 1; bm Qxd2; ce 32756; dm 6; pv Qxd2 Kd7 Qg5 Kc6 Qg7 Kd6 Kxd4 Ke6 Qe7+ Kf5 Qe4#;
3B4/8/3k4/4N3/2K5/3N2P1/6P1/8 w - - acn 493913; acs 1; bm g4; ce 32756; dm 6; pv g4 Ke6 g3 Kd6 g5 Ke6 g4 Kd6 Nc5 Kxe5 Bc7#;
3B4/8/3N4/1N1k1K2/3P4/8/8/8 w - - acn 361991; acs 1; bm Kf6; ce 32756; dm 6; pv Kf6 Kc6 Ke7 Kd5 Ba5 Kc6 Na3 Kd5 Nc2 Kc6 Nb4#;
3B4/8/2rNr2p/3k2p1/6Kn/2P1P3/4p3/6n1 b - - acn 328237; acs 1; bm Kxd6 Rc4+ e1=Q; ce 32756; dm 6; pv Rc4+ e4+ Kxd6 Bc7+ Kxc7 Kg3 e1=Q+ Kg4 Qe2+ Kg3 Qg2#;
3B4/8/2k5/3Rn3/1K1P4/8/8/8 w - - acn 80145; acs 0; bm Rxe5; ce 32756; dm 6; pv Rxe5 Kd6 Kb5 Kd7 Kc5 Kc8 Kc6 Kxd8 d5 Kc8 Re8#;
3B4/8/1Q1p4/5P2/5PPR/6PR/3p1ppP/3Kbrkb w - - acn 325760; acs 0; bm Rh8; ce 32756; dm 6; pv Rh8 d5 R3h7 d4 Qh6 d3 Bh4 Kxh2 Bg5+ Kg1 Qh2#;
3B4/8/1K1kr3/4bpp1/1p2p3/4p3/7p/8 b - - acn 397735; acs 1; bm Kd5+ h1=Q; ce 32756; dm 6; pv Kd5+ Kb7 h1=Q Bc7 Qf1 Bb6 Qa1 Bc7 Qa6+ Kb8 Re8#;
3B4/7p/6pP/6Pk/1pR4p/3K1b1P/1P3p2/5B2 w - - acn 682232; acs 1; bm Re4; ce 32756; dm 6; pv Re4 Bd1 Re2 Ba4 Rc2 Bb5+ Rc4 Bxc4+ Kxc4 b3 Be2#;
3B4/7K/1rp5/8/3r4/k7/8/8 b - - acn 252146; acs 0; bm Rxd8; ce 32756; dm 6; pv Rxd8 Kg6 Rf8 Kh6 Rg8 Kh7 Rg4 Kh8 Rb5 Kh7 Rh5#;
3B4/6pB/7p/7k/8/8/4K3/8 w - - acn 126649; acs 0; bm Kf3; ce 32756; dm 6; pv Kf3 g6 Be7 g5 Kg3 g4 Kf4 g3 Kf5 g2 Bg6#;
3B4/6p1/3b3p/2r1k1Pn/1R6/3b4/1K2nP2/8 b - - acn 383946; acs 1; bm Rc2+; ce 32756; dm 6; pv Rc2+ Ka1 Bxb4 f4+ Kf5 Bf6 Bc3+ Bxc3 Nxc3 g6 Ra2#;
3B4/5pbq/2K3b1/3Pkp2/R4p2/2p1p2N/2p2P2/8 w - - acn 184662; acs 1; bm Ba5; ce 32756; dm 6; pv Ba5 c1=Q Bc7+ Kf6 Bd8+ Ke5 Nxf4 Qd1 Nd3+ Qxd3 f4#;
3B4/5pb1/2q5/p1P2B2/k1P1N3/P1p2Kp1/Pp6/1N5n w - - acn 79446; acs 0; bm Ke2; ce 32756; dm 6; pv Ke2 Qe6 Bxe6 fxe6 c6 Bd4 Nexc3+ Bxc3 Nxc3+ Kxa3 Be7#;
3B4/5n2/8/K2p4/3Rq1k1/1rNp3r/4bP2/3Bb3 b - - acn 270207; acs 0; bm Bxc3+ Qxd4; ce 32756; dm 6; pv Bxc3+ Ka6 Rh6+ Bb6 Qxd4 f3+ Kh4 Ka7 Qxb6+ Ka8 Rh8#;
3B4/5K2/qn6/kr6/8/2p5/8/8 b - - acn 1570181; acs 2; bm Ka4 Qa7+ Qb7+ Qc8 Rf5+ Rh5 c2; ce 32756; dm 6; pv Rf5+ Kg7 Qa7+ Be7 Qxe7+ Kh6 Rf6+ Kh5 Qg7 Kh4 Rh6#;
3B4/5K2/1p3Qp1/1R6/2P1p3/2b1krp1/bqP4n/5n1r b - - acn 120585; acs 0; bm Qxb5; ce 32756; dm 6; pv Qxb5 Bxb6+ Qxb6 Qf4+ Rxf4+ Ke7 Qb7+ Ke8 Nf3 c5 Rh8#;
3B4/4pP1n/5kpN/K3p1p1/8/5q2/1p1pp3/5Qnb b - - acn 37592; acs 0; bm exf1=B exf1=Q; ce 32756; dm 6; pv exf1=Q f8=Q+ Nxf8 Ng4+ Qxg4 Bxe7+ Kxe7 Kb6 b1=Q+ Kc7 Qfc4#;
3B4/4p3/3R4/5k2/8/5K2/8/8 w - - acn 191639; acs 0; bm Bxe7; ce 32756; dm 6; pv Bxe7 Ke5 Bf8 Kf5 Bg7 Kg5 Rf6 Kh5 Kf4 Kh4 Rh6#;
3B4/4p2K/4Bk1b/3P4/2N5/2p4N/2p3n1/2r5 w - - acn 243694; acs 1; bm Ba5; ce 32756; dm 6; pv Ba5 Bd2 Bb6 Be3 Bc7 Bd4 Be5+ Bxe5 Nb6 Ne3 Nd7#;
3B4/4Kp2/8/8/2R5/1kPB4/8/8 w - - acn 957684; acs 1; bm Kxf7; ce 32756; dm 6; pv Kxf7 Kb2 Bg5 Ka2 Bc1 Kb3 Rc5 Ka2 Ra5+ Kb3 Ra3#;
3B4/3r4/3kq3/7N/2r5/8/8/6KB b - - acn 3768607; acs 5; bm Kc5 Qe1+ Qe2 Qe3+ Qg4+ Qh3 Rc2 Rg7+ Rxd8; ce 32756; dm 6; pv Rg7+ Bg2 Rxg2+ Kxg2 Qe2+ Kh3 Qg4+ Kh2 Rc2+ Kh1 Qd1#;
3B4/3r4/3k4/3b4/3rPK2/8/8/8 b - - acn 853568; acs 1; bm Rxe4+; ce 32756; dm 6; pv Rxe4+ Kf3 Ree7+ Kg3 Rxd8 Kg4 Rg7+ Kf4 Re8 Kf5 Rf8#;
3B4/3p2N1/3P2p1/6n1/3p2Pk/2PPp1Rp/4P2P/5K2 w - - acn 81232; acs 0; bm Kg1; ce 32756; dm 6; pv Kg1 dxc3 Kh1 c2 Rg1 c1=Q Rxc1 Kxg4 Rc4+ Ne4 Rxe4#;
3B4/3p1pK1/3k1pP1/2N2P2/3PB3/3p1p2/3p4/1q6 w - - acn 188563; acs 0; bm Ba8; ce 32756; dm 6; pv Ba8 Qe1 Bxf3 Qb1 Ba8 Qe1 Bg2 Qb1 gxf7 d1=Q f8=Q#;
3B4/3R4/8/4kB2/6K1/6p1/1b6/8 w - - acn 368972; acs 1; bm Bc7+; ce 32756; dm 6; pv Bc7+ Kf6 Kf4 Bc1+ Ke4 Ba3 Bd8+ Be7 Rxe7 g2 Rh7#;
3B4/3R4/2k5/p1N5/p2K4/4p3/1n2bn2/2b5 w - - acn 195267; acs 0; bm Rc7+; ce 32756; dm 6; pv Rc7+ Kd6 Rh7 Ng4 Re7 Bc4 Rd7+ Kc6 Rb7 e2 Rb6#;
3B4/3R4/2k5/2pb1p2/P4Pp1/2K3p1/1r4B1/b7 b - - acn 96267; acs 0; bm Rxg2+; ce 32756; dm 6; pv Rxg2+ Kd3 c4+ Ke3 Kxd7 Ba5 Bf3 Bc3 Bxc3 a5 Re2#;
3B4/3P1p2/2KP1P2/p1NPkq2/P2R2P1/4P3/2B5/8 w - - acn 194574; acs 0; bm Bb6 Be4; ce 32756; dm 6; pv Bb6 Qxc2 d8=R Qxc5+ Bxc5 Kxf6 Rg8 Ke5 Rf4 f6 Re8#;
3B4/3N4/3kp3/4N3/8/4K3/3P4/8 w - - acn 403040; acs 1; bm Kf4 d4; ce 32756; dm 6; pv d4 Kd5 Nb6+ Kd6 Na8 Kd5 Bb6 Kd6 Bc5+ Kd5 Nb6#;
3B4/3N1q2/2Pk4/8/8/6bR/b2K3p/6R1 b - - acn 91826; acs 0; bm Qd5+ Qf4+; ce 32756; dm 6; pv Qf4+ Kc2 Qc4+ Kd2 Bf4+ Re3 Bxe3+ Kxe3 hxg1=Q+ Kf3 Qcg4#;
3B4/3K4/6Np/5k1P/8/4pB2/8/8 w - - acn 317253; acs 1; bm Bh4; ce 32756; dm 6; pv Bh4 e2 Ke7 e1=Q+ Bxe1 Kg5 Ba5 Kf5 Bd8 Kg5 Ke6#;
3B4/3B4/8/K7/3k4/3P2P1/8/3R4 w - - acn 1459203; acs 2; bm Bb6+ Kb4; ce 32756; dm 6; pv Bb6+ Kd5 Re1 Kd6 Kb5 Kxd7 Kc5 Kc8 Kc6 Kb8 Re8#;
3B4/2p3pb/1p1b3p/1NkP1pp1/2P1P3/P7/2KN1P2/8 w - - acn 261815; acs 1; bm f4; ce 32756; dm 6; pv f4 gxf4 Be7 Bxe7 Kc3 Bf6+ e5 Bxe5+ Kd3 h5 Nb3#;
3B4/2Q5/8/8/2P1pP2/3pp2B/ppppp1P1/rqb1k1K1 w - - acn 204694; acs 0; bm Qa5; ce 32756; dm 6; pv Qa5 Kd1 Qh5 Ke1 Ba5 Kd1 Bg4 Ke1 Qh1 Kd1 Kh2#;
3B4/2PPpp2/R7/r4r2/1Pp3p1/4kPP1/pR2NNK1/8 w - - acn 62931; acs 0; bm Nxg4+; ce 32756; dm 6; pv Nxg4+ Kd3 Nf2+ Ke3 c8=Q a1=Q Bb6+ Rac5 Qxc5+ Rxc5 Bxc5#;
3B4/2P5/3k4/8/3K4/3PP3/8/8 w - - acn 145922; acs 0; bm c8=B; ce 32756; dm 6; pv c8=B Kc6 Kc4 Kd6 d4 Kc6 e4 Kd6 e5+ Kc6 d5#;
3B4/2Kn1n2/p2pk3/2pr4/1pp5/1P6/r7/8 b - - acn 723026; acs 2; bm Nxd8; ce 32756; dm 6; pv Nxd8 bxc4 Rf5 Kc8 Rf7 Kxd8 Nb8 Ke8 Rg2 Kd8 Rg8#;
3B4/1r3p1b/3pkN2/3p1p2/R1p2P2/4p1N1/Kp6/bQ1Br1n1 w - - acn 418228; acs 1; bm Bc2; ce 32756; dm 6; pv Bc2 Rxb1 Ngh5 Re7 Ra7 Rxa7+ Ba4 Rxa4+ Kxb1 e2 Ng7#;
3B4/1q1r4/3bR3/2kN4/B7/8/1r1P2K1/8 b - - acn 142293; acs 0; bm Qxd5+; ce 32756; dm 6; pv Qxd5+ Kg1 Rg7+ Rg6 Rxg6+ Bg5 Rxg5+ Kf1 Qf3+ Ke1 Bg3#;
3B4/1pp2P2/prP5/kN1K1P2/8/2N1P1PP/2P1p1P1/1B6 w - - acn 47737; acs 0; bm f8=Q; ce 32756; dm 6; pv f8=Q bxc6+ Kd4 Rb7 Qa3+ Kb6 Qc5+ Ka5 Na7+ Rb5 Nxc6#;
3B4/1p6/pn1p1p1p/kn1R1R1P/bp6/1p3P2/1K6/8 w - - acn 78634; acs 0; bm Rf4; ce 32756; dm 6; pv Rf4 f5 Rc4 f4 Rf5 d5 Rc5 d4 Rf6 d3 Bxb6#;
3B4/1p3Kp1/p7/Pk6/8/R7/1N6/8 w - - acn 785324; acs 1; bm Bb6; ce 32756; dm 6; pv Bb6 Kb4 Rd3 g6 Ke6 g5 Kd6 g4 Rg3 Kb5 Rb3#;
3B4/1b3prq/3pkNpp/3R4/3PPp2/7K/1n6/5B2 w - - acn 539742; acs 1; bm Kh2; ce 32756; dm 6; pv Kh2 g5 Bb5 Bc8 Rxd6+ Kxd6 Ne8+ Ke6 Nc7+ Kd6 e5#;
3B4/1R6/4k3/8/2p1K3/b2P4/8/8 w - - acn 190701; acs 0; bm d4; ce 32756; dm 6; pv d4 Be7 Bxe7 c3 Bg5 Kd6 d5 Kc5 Be7+ Kc4 Rb4#;
3B4/1N6/p5p1/1kN5/3p2p1/p7/p5B1/K7 w - - acn 650421; acs 1; bm Bd5; ce 32756; dm 6; pv Bd5 g3 Nb3 a5 Nxd4+ Ka6 Nc5+ Ka7 Bb7 g2 Nc6#;
3B4/1N6/8/8/k7/PN6/1K6/8 w - - acn 311791; acs 0; bm N3c5+; ce 32756; dm 6; pv N3c5+ Kb5 Kc3 Kc6 Kd4 Kb5 Nd6+ Kc6 Nc8 Kb5 Na7#;
3B4/1N1p4/1p1Pk1Pp/1p1R1p2/1N3p2/3P4/r1b4p/n6K w - - acn 76380; acs 0; bm Be7; ce 32756; dm 6; pv Be7 Ra8 Nd8+ Rxd8 d4 Be4+ Kxh2 Bxd5 Nd3 h5 Nxf4#;
3B3r/1p4p1/3pP3/3P2p1/4N1p1/7P/p1pP3n/k1K5 w - - acn 250549; acs 0; bm Bb6; ce 32756; dm 6; pv Bb6 Nf3 Nxg5 Rf8 Nxf3 Rf4 Bd4+ Rxd4 Nxd4 g3 Nxc2#;
3B3q/p2N4/K7/3p3r/2k1n2R/1n6/5r2/b2N4 b - - acn 115640; acs 0; bm Nbc5+ Qxd8; ce 32756; dm 6; pv Nbc5+ Nxc5 Qxd8 Nb2+ Rxb2 Rxe4+ dxe4 Kxa7 Rh7+ Nb7 Ra2#;
3B3R/5kpp/7p/3PpK2/8/6P1/8/8 w - - acn 148159; acs 0; bm Bf6 d6; ce 32756; dm 6; pv d6 g6+ Kxe5 h5 Bf6 h4 d7 g5 Kf5 h3 d8=N#;
3B3K/r3pp2/5pkp/5R2/rNn3P1/8/1N6/7b w - - acn 23988; acs 0; bm N2d3; ce 32756; dm 6; pv N2d3 e5 Nf4+ exf4 Nd3 Na5 Rxf6+ Kg5 Rg6+ Kxg6 Ne5#;
3B3K/r3p3/8/6kp/p2P1pp1/rB2b3/b1P5/1n6 b - - acn 1021453; acs 1; bm Bxd4+ Rxb3; ce 32756; dm 6; pv Bxd4+ Kg8 Rxb3 cxb3 Ra8 Kf8 Rxd8+ Kf7 Bxb3+ Kxe7 Bf6#;
3B3K/b1nPNBp1/r4kPp/7p/p4P2/2n1PpP1/3rq3/3Q4 w - - acn 1084481; acs 3; bm Qh1; ce 32756; dm 6; pv Qh1 Qh2 Qb1 Rc2 Qb6+ Ne6 g4 hxg4 Nc8+ Kf5 Nd6#;
3B3K/3P2r1/5Pk1/8/8/8/8/8 w - - acn 13221; acs 0; bm fxg7; ce 32756; dm 6; pv fxg7 Kf5 g8=Q Ke5 Bf6+ Kf5 d8=Q Kf4 Qd4+ Kf5 Qgg4#;
3B3K/3P2r1/5Pk1/8/8/8/8/8 b - - acn 6720; acs 0; bm Rxd7; ce 32756; dm 6; pv Rxd7 Be7 Rc7 f7 Kxf7 Bf8 Kg6 Be7 Rc8+ Bf8 Rxf8#;
3B2rn/r5p1/8/8/p4p2/p7/B5Qb/k5nK w - - acn 601160; acs 1; bm Bc4 Be6; ce 32756; dm 6; pv Bc4 Ne2 Qxe2 Kb1 Bd3+ Ka1 Qd1+ Kb2 Qc2+ Ka1 Qb1#;
3B2r1/p7/b1Bp4/3P1R2/2p1kp2/2rp2p1/8/1K6 b - - acn 55450; acs 0; bm g2; ce 32756; dm 6; pv g2 Re5+ Kxe5 Bf6+ Kxf6 Bd7 g1=Q+ Kb2 Qc1+ Ka2 Rg2#;
3B2n1/2Pp2p1/2pP1pP1/3p2Pb/5Ppr/p4pbB/P4Rqr/R3K1kN b - - acn 144186; acs 0; bm Bxf2+; ce 32756; dm 6; pv Bxf2+ Kd1 gxh3 Kc2+ Be1+ Nf2 Qxf2+ Kb3 Qb2+ Ka4 Rxf4#;
3B2N1/6p1/1P3bP1/2pkp3/2p2p2/2Q5/1P3P1B/K7 w - - acn 712215; acs 1; bm Nxf6+ b7; ce 32756; dm 6; pv Nxf6+ gxf6 g7 f5 g8=Q+ Kc6 Qe6+ Kb5 Qd7+ Ka6 Qa3#;
3B2K1/8/8/PR6/kp6/1p1P4/1P2P3/8 w - - acn 102840; acs 0; bm Rb6; ce 32756; dm 6; pv Rb6 Kxa5 Kf8 Ka4 Ke8 Ka5 Kd7 Ka4 Ra6+ Kb5 Ra5#;
3B2B1/8/3k4/8/1K6/3N1PN1/8/8 w - - acn 1243131; acs 2; bm Nc5; ce 32756; dm 6; pv Nc5 Ke5 Ne2 Kf5 Bh7+ Ke5 Be7 Kd5 Be4+ Ke5 f4#;
3B1q2/p6k/P4P2/Bp1pn1p1/3P3p/7P/6R1/4Q1KN w - - acn 379082; acs 1; bm Qxe5; ce 32756; dm 6; pv Qxe5 g4 Qf5+ Kh8 Qh5+ Kg8 Rxg4+ Qg7 f7+ Kf8 Bb4#;
3B1q1k/p5pp/2p5/7n/8/3Q4/PP2RbP1/RN3K2 b - - acn 41691; acs 0; bm Ng3+; ce 32756; dm 6; pv Ng3+ Qxg3 Bxg3+ Bf6 Qxf6+ Kg1 Qd4+ Rf2 Qxf2+ Kh1 Qf1#;
3B1n1r/b1p1R1p1/1qp3b1/1r3p1k/3P3p/5P2/3P2P1/3B2KR w - - acn 24727; acs 0; bm Rxh4+; ce 32756; dm 6; pv Rxh4+ Kxh4 f4 Ne6 Kh2 Rb3 Re8+ Nxd8 Rxh8+ Bh5 Rxh5#;
3B1N2/5p2/2p2P2/2pk1K2/2p1p3/2p1P3/2P5/8 w - - acn 18949; acs 0; bm Bb6; ce 32756; dm 6; pv Bb6 Kd6 Ba5 Kd5 Bxc3 Kd6 Be5+ Kd5 Nd7 c3 Nb6#;
3B1N2/4r2p/5k1P/4N2p/3rpK1P/4R3/4P2P/4R3 w - - acn 574478; acs 1; bm Rf1; ce 32756; dm 6; pv Rf1 Rc4 Rf2 Rd4 h3 Rc4 Rc3 e3+ Rxc4 exf2 Rc6#;
3B1K2/1qp1n3/2R1r3/4r3/4k1p1/1n6/B7/8 b - - acn 299149; acs 1; bm Nxc6 Qxc6 Rf5+; ce 32756; dm 6; pv Rf5+ Kg7 Qxc6 Bb1+ Kf4 Bxc7+ Qxc7 Bc2 Nc8+ Kg8 Re8#;
2rr3k/1p1q1p1p/p2p1p2/2nP4/P1P5/1P4R1/2Q2PPP/3R2K1 w - - acn 1125486; acs 2; bm Qxh7+; ce 32756; dm 6; pv Qxh7+ Kxh7 Rd4 Ne4 Rxe4 Rxc4 bxc4 Qf5 Rh4+ Qh5 Rxh5#;
2rr3k/1b3p2/p2bp1PP/1p1pq1Q1/7R/1P2N3/1PP4P/1K4R1 w - - acn 559114; acs 1; bm g7+; ce 32756; dm 6; pv g7+ Kh7 g8=Q+ Rxg8 Qg7+ Rxg7 hxg7+ Qh5 g8=Q+ Rxg8 Rxh5#;
2rr2k1/pp5p/bn1q2pQ/3p4/3P1R2/2N1R1N1/PP4PP/6K1 w - - acn 1087282; acs 2; bm Rf7; ce 32756; dm 6; pv Rf7 Kxf7 Qxh7+ Kf6 Rf3+ Qf4 Rxf4+ Ke6 Qf7+ Kd6 Rf6#;
2rr2k1/pp3p2/4p1pQ/4qbP1/8/3B4/PPP4R/1K3R2 w - - acn 160311; acs 0; bm Rfh1; ce 32756; dm 6; pv Rfh1 Qxb2+ Kxb2 Rxc2+ Rxc2 Bh3 Rc7 e5 Rxh3 f6 Qh8#;
2rr2k1/pp2npp1/4Pn2/6p1/8/1B1q3Q/PP3P1P/2B2RK1 w - - acn 17182; acs 0; bm exf7+; ce 32756; dm 6; pv exf7+ Kf8 Qh8+ Neg8 fxg8=Q+ Nxg8 Qxg8+ Ke7 Qe6+ Kf8 Qf7#;
2rr2k1/pbn3p1/3qpb1p/1p2N2Q/3P4/P2B2P1/1P3PP1/2R1R1K1 w - - acn 908109; acs 2; bm Qf7+; ce 32756; dm 6; pv Qf7+ Kh8 Ng6+ Kh7 Ne7+ Be4 Bxe4+ Kh8 Qg6 h5 Qh7#;
2rr2k1/5ppp/4p3/1p6/5PP1/bPqNQ2P/2P1R3/1K1R4 b - - acn 7072335; acs 10; bm Rxd3; ce 32756; dm 6; pv Rxd3 cxd3 Qxb3+ Ka1 Ra8 Qa7 Bb2+ Rxb2 Rxa7+ Ra2 Rxa2#;
2rr2k1/5p2/1pn3P1/p6Q/N3q1P1/P6R/KPp2R1P/8 b - - acn 5985; acs 0; bm c1=N+; ce 32756; dm 6; pv c1=N+ Ka1 Nb3+ Ka2 Qb1+ Kxb1 Rd1+ Kc2 Ncd4+ Kxd1 Rc1#;
2rr2k1/1q4Pp/p7/1p1bB3/6Q1/7P/PPB2bPK/2R5 w - - acn 139705; acs 0; bm Bxh7+; ce 32756; dm 6; pv Bxh7+ Kf7 Qf4+ Ke7 Qf6+ Ke8 Bg6+ Qf7 g8=Q+ Kd7 Qd6#;
2rr2k1/1p4pp/p7/n1b5/4R1Q1/P2B4/1q4PP/5R1K w - - acn 643328; acs 1; bm Qe6+; ce 32756; dm 6; pv Qe6+ Kh8 Rh4 Qxg2+ Kxg2 h6 Rxh6+ gxh6 Qxh6+ Kg8 Qh7#;
2rr2k1/1b1q1p2/p3pPp1/1pbpP1Qp/3N2N1/P6R/1PP3PP/4R1K1 w - - acn 5301560; acs 9; bm Rxh5; ce 32756; dm 6; pv Rxh5 Bxd4+ Re3 Bxe3+ Qxe3 Bc6 Rh8+ Kxh8 Qh6+ Kg8 Qg7#;
2rr1n2/8/6p1/6P1/1PpnPN2/2P1N3/1KP1PPR1/7k w - - acn 66762; acs 0; bm f3; ce 32756; dm 6; pv f3 Ra8 Nh3 Ra2+ Kxa2 Ra8+ Kb2 Ra2+ Kxa2 Nd7 Nf2#;
2rr1k2/p4p1Q/1pq2bpp/3N4/8/P2R3P/1P3PP1/4R1K1 w - - acn 432472; acs 1; bm Ne7; ce 32756; dm 6; pv Ne7 Be5 Nxc6 Bf6 Nxd8 Bg7 Re8+ Kxe8 Qg8+ Bf8 Qxf7#;
2rr1k2/6R1/b1B2Pp1/pP1p4/3Bn3/1p6/1K4PP/4R3 w - - acn 611333; acs 1; bm Rxe4; ce 32756; dm 6; pv Rxe4 Rxc6 bxc6 dxe4 Bc5+ Rd6 Bxd6+ Ke8 f7+ Kd8 f8=Q#;
2rqr3/pp2bp1k/2b1pnNB/8/3P4/P1nQ2R1/1P3PPP/R5K1 w - - acn 325566; acs 1; bm Nf8+; ce 32756; dm 6; pv Nf8+ Kh8 Bg7+ Kg8 Bxf6+ Kxf8 Rg8+ Kxg8 Qg3+ Kf8 Qg7#;
2rqr2k/pp1b1R1p/3B4/2nP4/3bp3/2N1N1Q1/PP4P1/5RK1 w - - acn 2134247; acs 4; bm Rxh7+; ce 32756; dm 6; pv Rxh7+ Kxh7 Rf7+ Kh8 Qh2+ Bh3 Qxh3+ Qh4 Qxh4+ Kg8 Qh7#;
2rqr1k1/Qp4bp/2b3p1/8/1N1p4/5B2/PP3KPP/R1BR4 b - - acn 350567; acs 1; bm Qh4+; ce 32756; dm 6; pv Qh4+ Kf1 Bb5+ Be2 Rxe2 Nd3 Bxd3 g3 Qh3+ Kg1 Qg2#;
2rqn3/3b1pk1/3pp1p1/1Pr1P1P1/5P2/p1N5/BPPQ4/2KR3R w - - acn 44571; acs 0; bm Qh2; ce 32756; dm 6; pv Qh2 axb2+ Kb1 Kf8 Qh8+ Ke7 exd6+ Nxd6 Qf6+ Ke8 Rh8#;
2rqk3/1p2p3/1n1pP1p1/pP1P1p1r/3B3P/1PN3p1/3Q4/R3K2R w - - acn 471936; acs 1; bm Qg5; ce 32756; dm 6; pv Qg5 Qd7 Qxg6+ Kd8 Bxb6+ Rc7 Qg8+ Qe8 Rxa5 g2 Ra8#;
2rqk2r/3n1ppp/1p2n3/p7/3P4/B2B2Q1/PP3PPP/R3R1K1 w k - acn 2363325; acs 5; bm Rxe6+; ce 32756; dm 6; pv Rxe6+ Qe7 Rxe7+ Kf8 Qf3 Rc1+ Rxc1 Nf6 Rc8+ Ne8 Rexe8#;
2rqk2r/3n1ppp/1p2n3/p7/3P4/B2B2Q1/PP3PPP/R3R1K1 w - - acn 2964616; acs 6; bm Rxe6+; ce 32756; dm 6; pv Rxe6+ Qe7 Rxe7+ Kf8 Qf3 Rc1+ Rxc1 Nf6 Rc8+ Ne8 Rexe8#;
2rq3r/pQ1N1kpp/3p4/8/3n4/8/P4PPP/b3R1K1 w - - acn 137843; acs 0; bm Ne5+; ce 32756; dm 6; pv Ne5+ Kf6 Qf7+ Kg5 h4+ Kxh4 g3+ Kh3 Qh5+ Qh4 Qxh4#;
