rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
3Q4/1q3pkp/p2p4/1p2p3/4n3/P1r3P1/2P3RP/4R2K b - - acn 3407791; acs 3; bm Nf2+; ce 32754; dm 7; pv Nf2+ Kg1 Nh3+ Kh1 Rxc2 Qf6+ Kxf6 Rf1+ Kg6 Rf6+ Kxf6 g4 Rc1#;
3Q3R/p4pk1/2R5/8/4P3/3PK3/1q6/2r5 b - - acn 11551; acs 0; bm Re1+; ce 32754; dm 7; pv Re1+ Kf3 Rf1+ Kg3 Qf2+ Kh3 Rh1+ Kg4 Rg1+ Kh5 Qe2+ Kh4 Qg4#;
3Q3R/5pk1/3b2r1/1p1q1p1p/8/1Pp3P1/3n1P1P/R5K1 b - - acn 40924; acs 0; bm Nf3+; ce 32754; dm 7; pv Nf3+ Kf1 Nxh2+ Kg1 Nf3+ Kf1 Qd3+ Kg2 Rxg3+ fxg3 Qe2+ Kh3 Qh2#;
3Q2k1/pp3rpp/6r1/8/4nB2/1NP2q2/PP2N2K/R3R3 b - - acn 206232; acs 0; bm Rf8; ce 32754; dm 7; pv Rf8 Qd5+ Kh8 Bg5 Qf2+ Kh1 Nxg5 Qg8+ Rxg8 Nf4 Rh6+ Nh3 Rxh3#;
3Q2bk/2pp2p1/5pB1/p7/Kb6/3pp3/2n5/8 w - - acn 315952; acs 0; bm Qa8; ce 32754; dm 7; pv Qa8 c6 Qb8 d6 Qc8 f5 Bf7 Kh7 Qxf5+ g6 Qxg6+ Kh8 Qxg8#;
3Q2K1/4Q1Q1/8/8/8/5q2/5q2/5k2 w - - acn 433949; acs 1; bm Qe6; ce 32754; dm 7; pv Qe6 Q2e2 Qa1+ Kf2 Qdd4+ Qfe3 Qh1 Qe1 Qxe1+ Kg2 Q1xe3 Kh2 Qg1#;
3Q1N2/PprP2p1/p5n1/1n1k4/r7/2P5/1NR1bB1K/R2B1q2 w - - acn 385486; acs 0; bm Qg5+; ce 32754; dm 7; pv Qg5+ Ne5 d8=Q+ Nd6 Rd2+ Bd3 Bf3+ Re4 Ra5+ b5 a8=Q+ Rc6 c4#;
3Nkn2/3pPq1p/3KpPpP/4P1P1/8/8/8/8 w - - acn 11323; acs 0; bm Nb7; ce 32754; dm 7; pv Nb7 Qxe7+ fxe7 Kf7 Nc5 Ke8 Na6 Kf7 Nc7 Kg8 e8=Q Kh8 Qxf8#;
3Nk3/3p4/3p1Q1p/5K1p/4N3/b1p1Rp2/2q1p3/r6B w - - acn 1135210; acs 2; bm Kf4; ce 32754; dm 7; pv Kf4 Qa4 Kxf3 Qa8 Nb7 Qxb7 Kf4 Qb4 Kf5 Rf1+ Nf2+ Qe4+ Rxe4#;
3Nk3/2K3B1/8/8/8/8/3P4/8 w - - acn 535462; acs 0; bm d3; ce 32754; dm 7; pv d3 Ke7 d4 Ke8 d5 Ke7 d6+ Ke8 d7+ Ke7 Kc6 Kxd8 Bf6#;
3NQ1nk/p3p1q1/6p1/6Np/8/3P1pP1/PP2PPKP/3R4 w - - acn 8144704; acs 7; bm exf3; ce 32754; dm 7; pv exf3 Qf6 Nde6 h4 gxh4 a6 Rc1 Qxf3+ Nxf3 g5 Qf8 g4 Qg7#;
3NNN2/8/8/8/8/k7/2K5/8 w - - acn 803686; acs 1; bm Nc6; ce 32754; dm 7; pv Nc6 Ka4 Nc7 Ka3 Nd7 Ka4 Nc5+ Ka3 Nb5+ Ka2 Nb4+ Ka1 Nb3#;
3NB3/4qRq1/2qn1PkP/q5q1/1p1qbPP1/1NPp4/3K1R2/5qB1 w - - acn 3645; acs 0; bm Rxg7+; ce 32754; dm 7; pv Rxg7+ Kxf6 fxg5+ Ke5 cxd4+ Kd5 Bxc6+ Kc4 Nxa5+ Kxd4 Rxf1+ Ke5 Rxe7#;
3N4/p7/p7/k7/7R/8/P7/6K1 w - - acn 2202181; acs 2; bm a4; ce 32754; dm 7; pv a4 Kb6 Rc4 Ka5 Kf2 Kb6 Ke3 Ka5 Kd4 Kb6 Rc5 a5 Rc6#;
3N4/p5kp/3P2p1/8/1P1b3P/2pb1qPB/2R2P1K/4Q3 w - - acn 3520639; acs 4; bm Qe7+; ce 32754; dm 7; pv Qe7+ Kh8 Ne6 Qh1+ Kxh1 Be4+ Bg2 Bxg2+ Kxg2 h6 d7 h5 d8=Q#;
3N4/p2Bn2K/k1p5/2P5/pB1Np3/1pP1p3/b7/r1b5 w - - acn 1452815; acs 3; bm Bg4; ce 32754; dm 7; pv Bg4 Bb1 Be6 Bd3 Bc8+ Nxc8 N4e6 Kb5 Nc7+ Kc4 Nxc6 e2 Na5#;
3N4/P1p1R2p/2Q4P/5p1p/4pN1K/3p1k1p/2rP4/3n4 w - - acn 7204501; acs 10; bm a8=Q; ce 32754; dm 7; pv a8=Q Rxc6 Qa1 h2 Qxd1+ Kf2 Nxd3+ exd3 Qe1+ Kg2 Qg3+ Kf1 Re1#;
3N4/K6b/p1R1p3/1kP5/1p3P1p/1P1p4/4P3/7N w - - acn 3661843; acs 4; bm Rd6; ce 32754; dm 7; pv Rd6 Be4 Rb6+ Kxc5 Nxe6+ Kd5 Nf2 Bf5 e4+ Bxe4 Ng4 h3 Ne3#;
3N4/8/8/8/R7/p7/p2K4/k7 w - - acn 116522; acs 0; bm Ra8; ce 32754; dm 7; pv Ra8 Kb1 Rb8+ Ka1 Nb7 Kb1 Na5+ Ka1 Nb3+ Kb1 Nd4+ Ka1 Nc2#;
3N4/8/8/2p5/2P2b2/p1p5/2K1N3/k7 w - - acn 278225; acs 0; bm Nb7; ce 32754; dm 7; pv Nb7 Be3 Na5 Bd2 Nb3+ Ka2 Nxc5 Ka1 Nb3+ Ka2 c5 Be3 Nxc3#;
3N4/8/6B1/2KNk3/8/3p4/3P4/8 w - - acn 2667786; acs 2; bm Kc4 Nc6+; ce 32754; dm 7; pv Nc6+ Ke6 Nb8 Ke5 Bxd3 Ke6 Bg6 Ke5 Nd7+ Ke6 Nf8+ Ke5 d4#;
3N4/8/3B4/4p3/2kNK3/8/3P4/8 w - - acn 3066570; acs 3; bm Kxe5; ce 32754; dm 7; pv Kxe5 Kd3 Bb4 Kc4 Bc3 Kc5 Ba5 Kc4 Ke4 Kc5 Nb7+ Kc4 d3#;
3N4/8/3B4/3k4/8/3K4/2B1P3/8 w - - acn 2824762; acs 3; bm Be7; ce 32754; dm 7; pv Be7 Ke5 Ke3 Kd5 Bb3+ Ke5 Bf7 Kf5 Kf3 Ke5 Nc6+ Kf5 e4#;
3N4/5R2/1K1k1p2/2p1pp2/2p1pbp1/2p1rb1n/8/2n5 w - - acn 339027; acs 0; bm Rh7; ce 32754; dm 7; pv Rh7 Nb3 Kb7 Ng5 Rc7 Nh7 Rxh7 Bh6 Kc8 Bg7 Rxg7 g3 Rd7#;
3N4/3p4/3p4/1k1N4/3K4/8/3B4/8 w - - acn 2499472; acs 3; bm Be3; ce 32754; dm 7; pv Be3 Ka4 Kc3 Ka3 Kc2 Ka4 Kb2 Ka5 Kb3 Kb5 Nc7+ Ka5 Nb7#;
3N4/3p1bp1/3Pp1k1/4Pp2/5P2/1p2p1pB/1P2P1P1/6KQ w - - acn 171671; acs 0; bm Nc6 Nxf7; ce 32754; dm 7; pv Nc6 dxc6 d7 Bg8 Bxf5+ exf5 d8=Q Kf7 Qd7+ Kf8 Qh5 g6 Qh6#;
3N4/3kB1K1/1PpN2p1/8/pp1P4/4pp1p/p6r/1B1b1rn1 w - - acn 1541133; acs 2; bm Bxa2; ce 32754; dm 7; pv Bxa2 b3 b7 Kc7 Ne6+ Kb8 Bd8 g5 Bc7+ Ka7 b8=Q+ Ka6 Qb6#;
3N4/3B4/k7/2K5/8/8/8/8 w - - acn 493628; acs 0; bm Bb5+; ce 32754; dm 7; pv Bb5+ Ka7 Kc6 Kb8 Ba6 Ka7 Kb5 Ka8 Kb6 Kb8 Nc6+ Ka8 Bb7#;
3N4/2bp4/rp1p3p/rP1p3P/p4p2/2PKR2B/2PRPP2/4k3 w - - acn 812727; acs 1; bm Re8; ce 32754; dm 7; pv Re8 Bxd8 e4 d4 e5 d5 e6 d6 e7 Bc7 Rg8 f3 e8=Q#;
3N4/1pp1pr2/1Npk3n/2n5/5P2/2R1R3/7K/1q6 b - - acn 87955; acs 0; bm Ng4+; ce 32754; dm 7; pv Ng4+ Kg2 Qb2+ Kf3 Qf2+ Kxg4 Qxf4+ Kh5 Rf5+ Kg6 Rg5+ Kh6 Qh4#;
3N4/1p5p/2p2p1n/2RqNk1b/3pR3/3Q1K2/8/2B4n w - - acn 929255; acs 1; bm Kg2 Ng4; ce 32754; dm 7; pv Ng4 Bxg4+ Kg2 Bf3+ Qxf3+ Kg6 Rxd5 f5 Re6+ Kg7 Bxh6+ Kg8 Re8#;
3N4/1p2p3/1B2Pk1p/p2p1NpP/P2P2K1/1p3p2/1P1b1P2/8 w - - acn 451175; acs 1; bm Bc5; ce 32754; dm 7; pv Bc5 Bb4 Ba7 Bd6 Bb6 Bb4 Bc7 Bd6 Bxd6 exd6 e7 b6 e8=N#;
3N4/1b1B4/r4npp/4n1kp/2P2R1N/b3p1PK/8/8 w - - acn 743642; acs 1; bm Bc6; ce 32754; dm 7; pv Bc6 Bc8+ Kg2 Ra7 Bd7 Bb7+ Kg1 Bd5 cxd5 Ra6 Nf7+ Nxf7 Nf3#;
3N4/1Rp1p3/1P1P1Pp1/P2k2P1/8/3K4/3n4/8 w - - acn 2831714; acs 3; bm bxc7; ce 32754; dm 7; pv bxc7 Nb3 Rb5+ Nc5+ Rxc5+ Kxc5 c8=Q+ Kb5 Qb7+ Kc5 Qb6+ Kd5 Qd4#;
3N3k/2q4p/p4p2/1p6/6n1/6P1/PP5P/3R2RK b - - acn 218490; acs 0; bm Qc2; ce 32754; dm 7; pv Qc2 Nf7+ Kg7 Rd2 Qxd2 Rg2 Qd1+ Rg1 Qd5+ Rg2 Ne3 h3 Qxg2#;
3N3k/1K6/5P2/8/7N/8/8/8 w - - acn 613936; acs 0; bm Nf3; ce 32754; dm 7; pv Nf3 Kg8 Ne5 Kf8 Kc6 Kg8 f7+ Kh8 f8=Q+ Kh7 Qf7+ Kh8 Ng6#;
3N3K/B2bRB2/1QpP3p/1R1pppp1/1P2k3/r3pNP1/2P1P3/b2r3q w - - acn 75678463; acs 101; bm Nxc6; ce 32754; dm 7; pv Nxc6 Be6 Qd4+ Rxd4 Rxe6 Rc4 Rf6 Rc5 Rxc5 Qd1 Be6 h5 Nxg5#;
3N2nk/4P3/4N1n1/8/8/p7/p1K1p3/8 w - - acn 35944; acs 0; bm Nf7+; ce 32754; dm 7; pv Nf7+ Kh7 e8=N e1=N+ Kb3 a1=N+ Ka2 Nf3 Kxa1 a2 Kxa2 Nd4 Neg5#;
3N2k1/2p2p1N/5B2/np1P1B2/3p4/2p5/1P5K/8 w - - acn 3281635; acs 4; bm d6; ce 32754; dm 7; pv d6 c2 Bxc2 d3 dxc7 dxc2 c8=Q c1=Q Qg4+ Qg5 Qxg5+ Kxh7 Qg7#;
3N2K1/pppppp2/7R/1PPPPPP1/3N4/7p/6pr/5nrk w - - acn 160884287; acs 84; bm Ne2; ce 32754; dm 7; pv Ne2 f6 gxf6 e6 fxe6 d6 f7 dxc5 f8=Q c4 Qf2 c3 Qxg1#;
3N2K1/3p4/3p4/p2PR3/P1kP3q/5p2/8/8 b - - acn 774060; acs 1; bm Qxd8+; ce 32754; dm 7; pv Qxd8+ Kg7 dxe5 dxe5 f2 e6 Qe7+ Kg6 f1=Q d6 Qff6+ Kh5 Qg5#;
3N2B1/bb2B3/5N1K/Rr1nkpp1/8/3r2P1/5P1Q/8 w - - acn 24993728; acs 35; bm Rxb5; ce 32754; dm 7; pv Rxb5 Kd4 Qh1 Re3 Qa1+ Rc3 Rxd5+ Bxd5 Bxd5 g4 Nc6+ Kd3 Qd1#;
3N1rnb/P1kP3b/3R4/p7/r1pN4/p1KnPp2/2Pp1P2/3R2Q1 w - - acn 3515794; acs 5; bm N8e6+ Qh2 a8=Q; ce 32754; dm 7; pv N8e6+ Kb7 Nxf8 Bxd4+ exd4 a2 a8=Q+ Kxa8 d8=Q+ Ka7 Qc7+ Ka8 Rd8#;
3N1rN1/8/6rp/1P2P1kP/5pPp/5R1P/Pp2P3/1K6 w - - acn 602507; acs 1; bm e3; ce 32754; dm 7; pv e3 Rb6 a3 Rf5 a4 Rg6 a5 Rgf6 exf6 Rxf6 exf4+ Rxf4 Ne6#;
3N1k2/8/6KP/8/8/8/8/8 w - - acn 137590; acs 0; bm h7; ce 32754; dm 7; pv h7 Ke8 h8=Q+ Kd7 Qd4+ Kc7 Qb4 Kd7 Kf6 Kc7 Ke7 Kc8 Qb7#;
3N1b2/2B2rq1/P1PpP3/R1pkpp1Q/R2P2b1/1K2p3/N1P3P1/3nnB2 w - - acn 11704784; acs 15; bm dxc5; ce 32754; dm 7; pv dxc5 dxc5 Nb4+ Kd4 Nd3+ Kd5 Nf4+ exf4 Bc4+ Kd4 Bd3+ c4+ Rxc4#;
3N1R2/1p5K/bN4p1/Bk1p4/1P2p3/2p5/B2p1p2/4n1b1 w - - acn 960276; acs 2; bm Rf5; ce 32754; dm 7; pv Rf5 gxf5 Bb3 d1=Q Bxd1 c2 Bh5 c1=Q Be8+ Qc6 Ne6 Qd7+ Bxd7#;
3N1Q2/nKp2P1q/2p4r/p2p1R1n/1prk1p2/1Pb2RN1/8/1B3b2 w - - acn 31456884; acs 47; bm Qe7; ce 32754; dm 7; pv Qe7 Bd2 Qe5+ Kc5 f8=Q+ Qe7 Qfxe7+ Rd6 Ne6+ Kb5 Nxc7+ Kc5 Q7xd6#;
3N1N1k/1p5P/1Pp2Ppn/4p3/p3K1p1/4p1Pp/2P1P2P/8 w - - acn 489019; acs 0; bm Kxe5; ce 32754; dm 7; pv Kxe5 g5 Kd4 c5+ Kc4 a3 Kb3 c4+ Kxa3 c3 Kb3 Nf7 Nxf7#;
3N1B2/2p3p1/pn5b/1p1k2pb/4R3/1PP3P1/2B4K/8 w - - acn 10119105; acs 14; bm Re1; ce 32754; dm 7; pv Re1 g6 Be4+ Ke5 Bxg6+ Kd5 Be4+ Ke5 Bh7+ Be2 Rxe2+ Kd5 Bg8#;
3Kn2R/5pp1/8/1bpprPp1/1N2pkP1/4Np2/1B1Q2Pq/b7 w - - acn 4478576; acs 7; bm g3+; ce 32754; dm 7; pv g3+ Qxg3 Nexd5+ Kxg4 Ne3+ Kf4 Bxe5+ Kxe5 Rxe8+ Bxe8 Qd6+ Kxd6 Nc4#;
3Kn1R1/2p1N3/3p1r1k/5BNp/5P2/8/p7/1b2r3 w - - acn 648817; acs 1; bm Rh8+; ce 32754; dm 7; pv Rh8+ Kg7 Rh7+ Kf8 Be4 Rxe4 Rh8+ Kg7 Rg8+ Kh6 Rg6+ Rxg6 Nf5#;
3KR3/p1pbp3/1P1P2k1/7r/2nbnq2/1r6/p1p1p1p1/1N1N1B1Q b - - acn 18772980; acs 21; bm Bg4 Qxd6 gxh1=B gxh1=Q; ce 32754; dm 7; pv gxh1=Q Rg8+ Bg7 dxe7 Qhh4 Rxg7+ Kxg7 Kxd7 Qhg4+ Kd8 Rd5+ Ke8 Qc8#;
3KR3/1QpP1N2/7N/8/1Rq1nk2/B4p2/8/1bb5 w - - acn 11669941; acs 18; bm Rxc4; ce 32754; dm 7; pv Rxc4 c6 Bd6+ Ke3 Ng4+ Ke2 Rxc1 Bc2 Rxe4+ Bxe4 Qb2+ Bc2 Qxc2#;
3KQ3/8/k7/q7/1Q6/8/8/8 w - - acn 35228; acs 0; bm Qxa5+; ce 32754; dm 7; pv Qxa5+ Kxa5 Qe1+ Kb5 Qe4 Kc5 Kc7 Kb5 Qd4 Ka5 Kc6 Ka6 Qb6#;
3KQ1n1/8/8/8/1Pk5/1Rpp4/p1pr1P2/8 w - - acn 2181326; acs 3; bm Qe6+ Ra3; ce 32754; dm 7; pv Qe6+ Kd4 b5 a1=Q Rb4+ Kc5 Rc4+ Kxb5 Qc6+ Ka5 Kc7 c1=Q Qb6#;
3KNk1b/4N3/4ppP1/6p1/6P1/8/8/8 w - - acn 180976; acs 0; bm Nc7; ce 32754; dm 7; pv Nc7 Kg7 Nxe6+ Kh6 Nd4 Kg7 Ndf5+ Kf8 Kd7 Bg7 Nd4 f5 Ne6#;
3KNQnk/3pp2p/R7/R7/pp6/2p5/2b4P/q1n3r1 w - - acn 72849084; acs 77; bm Rg5; ce 32754; dm 7; pv Rg5 Rxg5 h4 Rg4 Rg6 Rxg6 h5 Bd3 hxg6 c2 g7+ Qxg7 Qxg7#;
3K4/n7/7R/3kp3/1Pp1p1p1/1bB1P1P1/8/8 w - - acn 407267; acs 0; bm Kc7; ce 32754; dm 7; pv Kc7 Nb5+ Kd7 Ba4 Ke7 Bb3 Ra6 Ba2 Re6 Bb3 Kd7 Na7 Rxe5#;
3K4/n1p2p2/R1Pk1P2/1p2p3/1P2p3/1BR3nb/1B2prr1/3N1N2 w - - acn 1994679; acs 3; bm Rc5; ce 32754; dm 7; pv Rc5 Rf5 Nfe3 Rg5 Nf5+ Rxf5 Ne3 Rg5 Nf5+ Rxf5 Bxf7 Nxc6+ Rcxc6#;
3K4/BR5p/p6R/k2pp2r/pp2P3/4Nbn1/3b2q1/r2B4 w - - acn 3385115; acs 5; bm Rd6; ce 32754; dm 7; pv Rd6 Bxe4 Bb6+ Kb5 Bd4+ Ka5 Rc6 Rc1 Rxa6+ Kxa6 Ra7+ Kb5 Bxa4#;
3K4/8/p1pBp2p/p1PkPp2/5P2/2pPP3/P1P4P/8 w - - acn 285013; acs 0; bm Kc7; ce 32754; dm 7; pv Kc7 h5 Kb6 h4 Kxa5 h3 Kb4 a5+ Kxc3 a4 Kd2 a3 c4#;
3K4/8/8/8/8/7N/6p1/6Nk w - - acn 57649; acs 0; bm Ke7; ce 32754; dm 7; pv Ke7 Kh2 Kf6 Kh1 Kf5 Kh2 Kf4 Kh1 Kg4 Kh2 Nf3+ Kh1 Nf2#;
3K4/8/8/2p5/2N1k1P1/2p3P1/P1N1P3/8 w - - acn 1577364; acs 2; bm N4e3; ce 32754; dm 7; pv N4e3 c4 g5 Ke5 Kd7 Ke4 g6 Ke5 g7 Ke4 g8=Q Ke5 Qe6#;
3K4/8/5k2/3R4/8/8/8/8 w - - acn 43818; acs 0; bm Kd7; ce 32754; dm 7; pv Kd7 Kf7 Rd6 Kf8 Ke6 Kg7 Ke7 Kg8 Kf6 Kh8 Kg6 Kg8 Rd8#;
3K4/8/4rk2/8/8/8/8/8 b - - acn 42717; acs 0; bm Re7; ce 32754; dm 7; pv Re7 Kc8 Rf7 Kd8 Ke6 Kc8 Kd6 Kb8 Kc6 Ka8 Kb6 Kb8 Rf8#;
3K4/8/4k3/8/8/2q5/8/5R2 b - - acn 184542; acs 0; bm Qd3+; ce 32754; dm 7; pv Qd3+ Kc7 Qxf1 Kc6 Qc4+ Kb6 Kd6 Kb7 Qb4+ Ka7 Kc6 Ka8 Qb7#;
3K4/8/4k3/5b2/5b2/8/8/8 b - - acn 974562; acs 1; bm Kf6; ce 32754; dm 7; pv Kf6 Ke8 Bc7 Kf8 Bd7 Kg8 Kg6 Kh8 Bd6 Kg8 Be6+ Kh8 Be5#;
3K4/8/4Q3/8/1q6/1k6/8/5q2 b - - acn 122727; acs 0; bm Kb2; ce 32754; dm 7; pv Kb2 Qe5+ Kb1 Qd5 Qff8+ Kd7 Qfe7+ Kc8 Qe8+ Qd8 Qc6+ Qc7 Qf8#;
3K4/8/3k4/3PN3/3B4/8/4N1P1/8 w - - acn 4642256; acs 4; bm g3; ce 32754; dm 7; pv g3 Kxd5 Ke7 Ke4 Kf6 Kd5 Bb6 Kd6 Nd4 Kd5 Nb5 Ke4 Nc3#;
3K4/8/3k4/1bn5/8/8/8/8 b - - acn 731676; acs 1; bm Ba4 Bc6 Nb7+ Ne6+; ce 32754; dm 7; pv Nb7+ Kc8 Kc6 Kb8 Nd6 Ka7 Kc7 Ka8 Bc4 Ka7 Nc8+ Ka8 Bd5#;
3K4/8/2q5/P7/2b2R2/8/7k/8 b - - acn 1867929; acs 2; bm Qd6+; ce 32754; dm 7; pv Qd6+ Ke8 Qxf4 Ke7 Qe5+ Kd7 Bb5+ Kc8 Qe7 a6 Bxa6+ Kb8 Qb7#;
3K4/8/2Q5/8/8/4p1N1/3p4/3k4 w - - acn 1419046; acs 2; bm Qc4; ce 32754; dm 7; pv Qc4 e2 Ne4 e1=Q Nc3+ Kc1 Na4+ Kb1 Qb3+ Kc1 Qb2+ Kd1 Nc3#;
3K4/7p/Q7/7p/4N1Pq/1PB2p2/BPkbbpNR/1R6 w - - acn 1183283; acs 1; bm Nxh4; ce 32754; dm 7; pv Nxh4 Bg5+ Nxg5 Bxa6 Rxf2+ Be2 Nf5 h4 Ne6 h3 Nc5 h2 Ne3#;
3K4/6r1/6k1/8/8/8/8/8 b - - acn 81554; acs 0; bm Kf5 Kf6 Kg5 Rf7 Rh7; ce 32754; dm 7; pv Rh7 Ke8 Kf6 Kd8 Ke6 Kc8 Kd6 Kb8 Kc6 Ka8 Kb6 Kb8 Rh8#;
3K4/5p2/8/3n4/8/8/p7/kbQ5 w - - acn 368894; acs 0; bm Ke8; ce 32754; dm 7; pv Ke8 f6 Kf8 f5 Kf7 f4 Ke6 Nc7+ Ke5 Nb5 Kxf4 Na7 Qc3#;
3K4/5kP1/7P/8/8/8/8/8 w - - acn 144221; acs 0; bm Kd7; ce 32754; dm 7; pv Kd7 Kf6 g8=Q Kf5 Qe6+ Kg5 h7 Kf4 h8=Q Kf3 Qhh3+ Kf4 Qhe3#;
3K4/5k2/5r2/8/8/8/8/8 b - - acn 97008; acs 0; bm Ke6; ce 32754; dm 7; pv Ke6 Kc7 Ke7 Kc8 Kd6 Kb7 Kd7 Kb8 Kc6 Ka8 Kb6 Kb8 Rf8#;
3K4/3N4/2ppp3/3k4/2pbp3/3n4/3Q4/3B4 w - - acn 7642725; acs 8; bm Qxd3; ce 32754; dm 7; pv Qxd3 e5 Qd2 c5 Nb6+ Kc6 Qa5 c3 Qa6 c2 Na8+ Kd5 Nc7#;
3K4/2pp4/p2k4/P1R5/1pP2P2/1P1pP2P/3P4/8 w - - acn 471006; acs 0; bm Re5; ce 32754; dm 7; pv Re5 Kc6 Kc8 Kd6 Kb7 c5 Kc8 Kc6 Rd5 d6 Rf5 d5 Rf6#;
3K4/2N1B3/8/4Nk2/1p2pP2/3pP3/2P5/4b3 w - - acn 1366724; acs 2; bm Ne8; ce 32754; dm 7; pv Ne8 Ke6 c4 bxc3ep Nc7+ Kf5 Nb5 Ke6 Nd4+ Kd5 Nd7 d2 Nb6#;
3K4/1p2N1n1/kB2pp2/1pPppB1n/1P1Q4/4p3/1R4rp/4rb1q w - - acn 13173532; acs 15; bm Bb1; ce 32754; dm 7; pv Bb1 Rxb1 Qc3 Ra1 Rf2 Be2 Qxe5 fxe5 Nc6 bxc6 Rf7 e4 Ra7#;
3K4/1p1B4/bB1k4/rpR1p3/2ppppp1/8/RPPPPP2/r1n5 w - - acn 15310002; acs 18; bm b4; ce 32754; dm 7; pv b4 cxb3ep c4 dxc3ep d4 exd3ep e4 fxe3ep f4 gxf3ep Rh2 f2 Rh6#;
3K4/1B4p1/4N3/1nB1kPP1/7p/2ppNn2/1P3P2/3q4 w - - acn 2714770; acs 5; bm Nf8; ce 32754; dm 7; pv Nf8 Kf4 Be7 Ke5 bxc3 Nxc3 Bc5 Kf4 Ne6+ Ke5 Bd6+ Kxd6 Nc4#;
3K3k/8/5P2/8/7N/8/8/8 w - - acn 74404; acs 0; bm Ke8; ce 32754; dm 7; pv Ke8 Kg8 f7+ Kh7 f8=B Kh8 Kf7 Kh7 Nf3 Kh8 Bg7+ Kh7 Ng5#;
3K3k/6R1/7P/8/8/3N4/P7/r7 w - - acn 341823; acs 0; bm Ne5; ce 32754; dm 7; pv Ne5 Rd1+ Kc7 Rc1+ Kb7 Rb1+ Ka7 Rb7+ Rxb7 Kg8 h7+ Kh8 Ng6#;
3K2n1/5N2/2Rp1k2/3B4/2P3P1/4Pp2/5P2/8 w - - acn 3282268; acs 4; bm Ke8 Nxd6 Rc7 Rxd6+ g5+; ce 32754; dm 7; pv g5+ Kg6 Rxd6+ Kg7 Ne5 Nf6 Rxf6 Kh7 Rf7+ Kh8 Ng6+ Kg8 Re7#;
3K2k1/8/6PP/8/8/8/8/8 w - - acn 54858; acs 0; bm Ke7 Ke8; ce 32754; dm 7; pv Ke8 Kh8 g7+ Kg8 Ke7 Kh7 Kf7 Kxh6 g8=Q Kh5 Qg3 Kh6 Qh4#;
3K2k1/4B3/8/8/5N2/8/8/8 w - - acn 384317; acs 0; bm Ke8; ce 32754; dm 7; pv Ke8 Kg7 Bg5 Kg8 Ne6 Kh7 Kf7 Kh8 Bf4 Kh7 Nf8+ Kh8 Be5#;
3K2b1/B7/R2Np1N1/1p1kP2P/2p2ppP/2Pp2r1/2npP1Pb/4q3 w - - acn 10682082; acs 16; bm Ne8; ce 32754; dm 7; pv Ne8 Ke4 Nf6+ Kf5 e4+ fxe3ep Ne8 Ke4 Nd6+ Kd5 Rc6 e2 Rc5#;
3K2Q1/Pk6/8/1q6/8/8/8/8 w - - acn 116028; acs 0; bm a8=Q+; ce 32754; dm 7; pv a8=Q+ Kxa8 Kc7+ Ka7 Qa2+ Qa6 Qf2+ Ka8 Qf8+ Qc8+ Qxc8+ Ka7 Qb7#;
3K2B1/n7/2pk2N1/2r1N3/p3nP1p/B1p3P1/3bb2r/8 w - - acn 601722; acs 1; bm Ne7; ce 32754; dm 7; pv Ne7 Nxg3 Ba2 Bh5 N7g6 Bxg6 Bg8 Bd3 Nxd3 Ne4 Ne5 h3 Nc4#;
3K2B1/8/8/8/6n1/3p4/3Q4/1k4r1 w - - acn 829139; acs 1; bm Ba2+; ce 32754; dm 7; pv Ba2+ Ka1 Bc4 Kb1 Bxd3+ Ka1 Qb4 Ka2 Bc4+ Ka1 Qa3+ Kb1 Bd3#;
3K1k2/R6p/1p2Bp1n/3p4/2b3n1/p3B3/5r2/8 w - - acn 628360; acs 1; bm Bc1; ce 32754; dm 7; pv Bc1 Rf3 Bd2 Rc3 Bf4 Nf7+ Rxf7+ Kg8 Re7+ Kh8 Re8+ Kg7 Rg8#;
3K1k2/8/8/8/1P2n1p1/2r5/p1N5/5N2 b - - acn 5424912; acs 6; bm Rxc2; ce 32754; dm 7; pv Rxc2 Ne3 a1=Q Kd7 Qa4+ Ke6 Qe8+ Kf5 Rf2+ Kxg4 Qg6+ Kh4 Rh2#;
3K1k1N/2ppp2p/8/2bN4/8/2B3RB/4r3/4r3 w - - acn 4742912; acs 6; bm Bg7+; ce 32754; dm 7; pv Bg7+ Kg8 Be5+ Kf8 Be6 dxe6 Bg7+ Kg8 Bd4+ Kf8 Nf6 h6 Nd7#;
3K1R2/Brp2p2/1q2bp2/5P1p/PN3p2/R1b1k3/Pp1p1p2/3n1n2 b - - acn 1818668; acs 3; bm Rxa7; ce 32754; dm 7; pv Rxa7 Rxc3+ Nxc3 Ke7 c6+ Kxf6 Qd4+ Kg5 Qg7+ Kxh5 d1=Q+ Kh4 Qdg4#;
3Bk1K1/1N6/8/5N2/8/8/6P1/8 w - - acn 2398296; acs 2; bm Ne7; ce 32754; dm 7; pv Ne7 Kd7 Kf8 Ke6 Bc7 Kf6 Bf4 Ke6 g4 Kf6 g5+ Ke6 Nc5#;
