rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
1N4k1/1R2R3/8/8/8/8/R7/K7 w - - acn 1; acs 0; bm Re8#; ce 32766; dm 1; pv Re8#;
1N4k1/1Q6/r3p1nP/3RP1p1/p3b1p1/p5p1/3K4/8 w - - acn 1; acs 0; bm Qg7#; ce 32766; dm 1; pv Qg7#;
1N4k1/1Q6/3R4/1p3N1P/2n5/5P1p/7K/r7 w - - acn 2; acs 0; bm Qg7# Rd8#; ce 32766; dm 1; pv Rd8#;
1N4k1/1B6/8/2P4r/6P1/4r1B1/K7/3q2r1 b - - acn 6; acs 0; bm Qa1# Qb1# Qb3# Qc2# Qd2# Qe2#; ce 32766; dm 1; pv Qc2#;
1N4br/8/3n2qp/P1Pn2k1/3Kp1P1/p3R2R/8/B6B b - - acn 2; acs 0; bm Qf6# Qg7#; ce 32766; dm 1; pv Qf6#;
1N4bq/bprp3p/3p4/1pk5/4P3/8/pR5p/K4B1r b - - acn 1; acs 0; bm Rxf1#; ce 32766; dm 1; pv Rxf1#;
1N4bn/2QP3r/4k1Pp/1P3Rp1/NBKpnpB1/3P4/8/b3R3 w - - acn 10; acs 0; bm Qb6# Qc6# Qd6# Qe5# Rf7# Rf8# Rxe4# Rxf4# d8=N#; ce 32766; dm 1; pv d8=N#;
1N4bk/4Q3/1P6/5B2/8/1P6/1N6/K7 w - - acn 2; acs 0; bm Qe5# Qf6#; ce 32766; dm 1; pv Qf6#;
1N4bb/5qr1/pp1NB1p1/k3B3/4p3/1K4R1/1R6/3Q4 w - - acn 8; acs 0; bm Bc3# Nc6# Qa1# Qd2# Qe1# Ra2#; ce 32766; dm 1; pv Nc6#;
1N4bb/5qr1/pp1NB1p1/k3B3/4p3/1K4R1/1R1p4/3Q4 w - - acn 6; acs 0; bm Bc3# Nc6# Qa1# Qxd2# Ra2#; ce 32766; dm 1; pv Nc6#;
1N4b1/RP1P4/KBR5/P2k2P1/2N5/PQ3P2/3P4/1q6 w - - acn 5; acs 0; bm Rd6# d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
1N4b1/RP1P4/KBR5/P2k2P1/2N5/PQ3P2/1p1P4/8 w - - acn 6; acs 0; bm Qb5# Qd3# Rd6# d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
1N4b1/QNkPPR1p/2r2p1P/5p1K/2p2P1P/8/2P5/8 w - - acn 6; acs 0; bm d8=Q# e8=N#; ce 32766; dm 1; pv e8=N#;
1N4b1/QNkPPR1p/2r2p1P/5p1K/2p2P1P/8/2P5/8 b - - acn 1; acs 0; bm Bxf7#; ce 32766; dm 1; pv Bxf7#;
1N4b1/7n/1p1p4/rp1kq2R/rp1b2Q1/pK1N1P2/P1P3P1/B4B2 w - - acn 3; acs 0; bm Qxg8#; ce 32766; dm 1; pv Qxg8#;
1N4b1/6BN/3k2P1/ppR5/P2P2Q1/2p2P1p/2P5/6K1 w - - acn 2; acs 0; bm Bf8# Qd7#; ce 32766; dm 1; pv Bf8#;
1N4b1/2k1b3/p3r3/5p2/n1r2p2/2np1Kpp/6N1/R6q b - - acn 2; acs 0; bm Qxg2# Re3#; ce 32766; dm 1; pv Re3#;
1N4b1/1RBrP3/8/N1kPQ3/qpnpPb2/1p1KPp2/3P4/2R5 w - - acn 6; acs 0; bm Na6# Qxd4# Rxc4# exd4#; ce 32766; dm 1; pv exd4#;
1N4R1/pq6/P3P2P/5PpK/R4p1P/3P1k2/1Q3Pr1/B1N4B w - - acn 1; acs 0; bm Qe2#; ce 32766; dm 1; pv Qe2#;
1N4R1/8/8/4P3/5K1k/8/4B3/8 w - - acn 1; acs 0; bm Rh8#; ce 32766; dm 1; pv Rh8#;
1N4R1/8/5B2/8/1k2n1P1/8/B3q2r/K7 b - - acn 1; acs 0; bm Qxa2#; ce 32766; dm 1; pv Qxa2#;
1N4R1/8/1Q6/P7/3P1k2/3K4/8/8 w - - acn 1; acs 0; bm Qf6#; ce 32766; dm 1; pv Qf6#;
1N4R1/7p/Q1B5/P2P4/1P1p4/R1n1k3/n1PNp2B/4K1b1 w - - acn 5; acs 0; bm Qd3# Qxe2# Re8#; ce 32766; dm 1; pv Re8#;
1N4R1/7p/Q1B5/P2P4/1P1p4/R1n1k3/n1PNp2B/4K1b1 b - - acn 1; acs 0; bm Bf2#; ce 32766; dm 1; pv Bf2#;
1N4R1/4PBPp/1P1k1KpP/2R3P1/1PP5/2Q2p2/3NpP2/B7 w - - acn 8; acs 0; bm Ne4# Qd3# Qd4# Qe5# Rc6# Rd5# Rd8# e8=N#; ce 32766; dm 1; pv e8=N#;
1N4R1/4PBPp/1P1k1KpP/2R3P1/1PP5/2Q2p2/3N1P2/B3q3 w - - acn 6; acs 0; bm Qd3# Qd4# Rc6# Rd5# Rd8#; ce 32766; dm 1; pv Rd8#;
1N4R1/3P3k/p1p1p2N/P2p2Bp/2pK4/2PnP2p/7P/1Q4n1 b - - acn 4; acs 0; bm Ne2# Nf3# c5# e5#; ce 32766; dm 1; pv e5#;
1N4R1/2R5/8/p6k/P7/7p/4K1R1/8 w - - acn 2; acs 0; bm Rh7# Rh8#; ce 32766; dm 1; pv Rh8#;
1N4R1/1BP5/1Pq5/3knQKP/N7/1PP3R1/5P2/8 w - - acn 3; acs 0; bm Rd3# Rd8#; ce 32766; dm 1; pv Rd8#;
1N4QR/4kB2/1Bp1p3/2p1K1p1/4bnrp/5pb1/1p3q2/8 w - - acn 3; acs 0; bm Bd8# Qe8# Qf8#; ce 32766; dm 1; pv Bd8#;
1N4QR/4kB2/1Bp1p3/2p1K1p1/4bnrp/5pb1/1p3q2/8 b - - acn 8; acs 0; bm Nd3# Nd5# Ne2# Ng2# Ng6# Nh3# Nh5# Qd4#; ce 32766; dm 1; pv Nd5#;
1N4Q1/R7/8/p2N1Pp1/B4pP1/8/2p1P1P1/nkrn1Kbr b - - acn 11; acs 0; bm Bb6# Bc5# Bd4# Be3# Bf2# Bh2# Bxa7# Nb2# Nc3# Ne3# Nf2#; ce 32766; dm 1; pv Nb2#;
1N4Q1/B7/6p1/pk4pb/3R2rp/p1p3b1/N1Pp4/1n1K4 w - - acn 4; acs 0; bm Qb3# Qc4# Qd5# Qe8#; ce 32766; dm 1; pv Qd5#;
1N4Q1/B7/6p1/pk4pb/3R2rp/p1p3b1/N1Pp4/1n1K4 b - - acn 3; acs 0; bm Re4# Rf4# Rxd4#; ce 32766; dm 1; pv Rf4#;
1N4Q1/8/8/4pk2/1b4p1/4QB2/4K3/8 w - - acn 3; acs 0; bm Qeg5# Qf7#; ce 32766; dm 1; pv Qf7#;
1N4Q1/8/7k/6Np/r7/4nK1P/6Pq/1R5R w - - acn 1; acs 0; bm Nf7#; ce 32766; dm 1; pv Nf7#;
1N4Q1/8/1R6/8/4K3/R7/8/7k w - - acn 2; acs 0; bm Rh3# Rh6#; ce 32766; dm 1; pv Rh6#;
1N4Nq/b1k3pp/P3B1p1/PQ1pKpB1/2pr4/8/4n3/1b1r4 w - - acn 1; acs 0; bm Qb7#; ce 32766; dm 1; pv Qb7#;
1N4Nq/b1k3pp/P3B1p1/PQ1pKpB1/2pr4/8/4n3/1b1r4 b - - acn 1; acs 0; bm Re4#; ce 32766; dm 1; pv Re4#;
1N4N1/p2p2p1/p2Bk1P1/Q2R4/8/2P4p/B4Ppr/b5K1 w - - acn 4; acs 0; bm Rd1# Rd2# Rd3# Rd4#; ce 32766; dm 1; pv Rd4#;
1N4N1/p2p2p1/p2Bk1P1/Q2R4/8/2P4p/B4Ppr/b5K1 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
1N4N1/Q3R3/3k4/8/8/3Pp2P/3bK3/6NB w - - acn 3; acs 0; bm Qb6# Qc7# Qd4#; ce 32766; dm 1; pv Qb6#;
1N4N1/B1p5/2Rnk2p/1P3R1Q/5p2/1n4p1/B3p1pb/4Kbrr w - - acn 5; acs 0; bm Bxb3# Qf7# Qg6# Re5# Rf6#; ce 32766; dm 1; pv Bxb3#;
1N4N1/8/3pk1K1/8/3Q4/8/8/8 w - - acn 1; acs 0; bm Qe4#; ce 32766; dm 1; pv Qe4#;
1N4N1/2p1RB2/8/1p4p1/1P3pP1/5p1n/2K5/k3q1bQ w - - acn 1; acs 0; bm Rxe1#; ce 32766; dm 1; pv Rxe1#;
1N4N1/2P3Q1/1R1B1r1p/7P/1PPk4/2pPpp2/2Pp1p2/3K4 w - - acn 4; acs 0; bm Nc6# Qxf6#; ce 32766; dm 1; pv Nc6#;
1N4N1/2P3Q1/1R1B1r1p/7P/1PPk4/2pPpp2/2Pp1p2/3K4 b - - acn 3; acs 0; bm e2# f1=Q# f1=R#; ce 32766; dm 1; pv f1=Q#;
1N4K1/7N/2r1Bq2/4B3/4k3/1b6/8/8 b - - acn 1; acs 0; bm Bxe6#; ce 32766; dm 1; pv Bxe6#;
1N4K1/5r2/3P1k2/8/8/p7/1r6/7q b - - acn 3; acs 0; bm Qh7# Rg2# Rxb8#; ce 32766; dm 1; pv Rxb8#;
1N4Bn/2p1P3/prp3p1/2Qnk1B1/1pKN1RP1/1P1Pq3/4Rpp1/5b2 w - - acn 6; acs 0; bm Nd7# Nf3# Rxe3# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
1N4Bn/2p1P3/prp3p1/2Qnk1B1/1pKN1RP1/1P1P4/4qpp1/5b2 w - - acn 4; acs 0; bm Nd7# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
1N4BQ/5P2/N3k1P1/1P4P1/3b1PK1/1P3P2/8/3R2BR w - - acn 2; acs 0; bm f8=B# f8=Q#; ce 32766; dm 1; pv f8=Q#;
1N4BK/2Q2r2/5p1R/3k1P2/1p2p3/4P3/1p6/b7 w - - acn 2; acs 0; bm Bxf7#; ce 32766; dm 1; pv Bxf7#;
1N4BK/1r6/8/p1kn4/P3r3/5n2/1B6/q7 b - - acn 1; acs 0; bm Qxb2#; ce 32766; dm 1; pv Qxb2#;
1N4B1/p2p3K/P2P1knR/2pQn2b/2P2Pp1/6N1/1B6/b7 w - - acn 7; acs 0; bm Nxd7# Qf7# Qxe5#; ce 32766; dm 1; pv Nxd7#;
1N4B1/p2PQ3/4n3/K2kPR2/3n4/1P4P1/1B2N3/3R4 w - - acn 3; acs 0; bm Nc3# Rxd4#; ce 32766; dm 1; pv Nc3#;
1N4B1/Pq4P1/2PP1k1P/7Q/3n2K1/1P5P/3N1b2/B4R2 w - - acn 5; acs 0; bm Bxd4# Ne4# Qf5# Qg5# Rxf2#; ce 32766; dm 1; pv Ne4#;
1N4B1/8/6B1/8/1QP5/4K3/8/k2N4 w - - acn 5; acs 0; bm Qa3# Qa4# Qa5# Qb1# Qb2#; ce 32766; dm 1; pv Qb1#;
1N4B1/8/5P2/4k3/2P5/pp4N1/r1pQ4/n1K2R2 w - - acn 5; acs 0; bm Nc6# Nd7# Qd5# Qf4# Rf5#; ce 32766; dm 1; pv Nc6#;
1N4B1/8/5P2/4k3/2P5/pp4N1/r1pQ4/n1K2R2 b - - acn 1; acs 0; bm b2#; ce 32766; dm 1; pv b2#;
1N4B1/5pp1/3b2Rp/1nrkpK1N/3pRpP1/1P1prQ2/5Pn1/1b2q3 w - - acn 5; acs 0; bm Bxf7# Rxe5#; ce 32766; dm 1; pv Bxf7#;
1N4B1/5pp1/3b2Rp/1nrkpK1N/3pRpP1/1P1prQ2/5Pn1/1b2q3 b - - acn 1; acs 0; bm Nh4#; ce 32766; dm 1; pv Nh4#;
1N4B1/2r5/5p1N/r2p3p/1b2p2P/1K1k4/8/q7 b - - acn 3; acs 0; bm Qa3# Qb1# Qc3#; ce 32766; dm 1; pv Qc3#;
1N4B1/2P4R/3k4/2p1pb2/P7/1KR1N1r1/2r5/5Q2 w - - acn 4; acs 0; bm Nc4# Nxf5# Qa6#; ce 32766; dm 1; pv Nc4#;
1N4B1/2N3Q1/Rb1k3p/5P2/1P3n2/5P2/5p1B/5K2 w - - acn 7; acs 0; bm Bxf4# Nb5# Ne8# Rxb6#; ce 32766; dm 1; pv Nb5#;
1N4B1/2B5/1p2Rp1b/N2k4/2R3P1/p1p1pp2/P1P1pp2/K3Qr2 w - - acn 9; acs 0; bm Re5# Re7# Re8# Rec6# Ree4# Rxb6# Rxe3# Rxf6#; ce 32766; dm 1; pv Rxf6#;
1N4B1/2B5/1p2Rp1b/N2k4/2R3P1/p1p1pp2/P1P1pp2/K3Qr2 b - - acn 3; acs 0; bm Rxe1# fxe1=Q# fxe1=R#; ce 32766; dm 1; pv fxe1=Q#;
1N4B1/1nBr3b/3Q1n2/1kq4R/pp1pNp2/3Kp3/1RPbP3/3r4 w - - acn 5; acs 0; bm Bc4# Qa6# Qb6# Qc6#; ce 32766; dm 1; pv Bc4#;
1N4B1/1nBr3b/3Q1n2/1kq4R/pp1pNp2/3Kp3/1RPbP3/3r4 b - - acn 4; acs 0; bm Bc1# Bc3# Be1# Bxe4#; ce 32766; dm 1; pv Bxe4#;
1N3rk1/q4N2/bp3p2/8/1P1p4/P1n5/3R1P2/3QKBr1 b - - acn 1; acs 0; bm Rxf1#; ce 32766; dm 1; pv Rxf1#;
1N3rb1/4R2p/2p4P/1P6/kPB5/3N4/Kp6/bR6 w - - acn 2; acs 0; bm Ra7#; ce 32766; dm 1; pv Ra7#;
1N3rb1/4R2p/2p4P/1P6/kPB5/3N4/Kp6/bR6 b - - acn 1; acs 0; bm Bxc4#; ce 32766; dm 1; pv Bxc4#;
1N3rR1/8/2p1k1p1/nP1b4/B2p4/N1b3n1/2R5/3K4 b - - acn 1; acs 0; bm Rf1#; ce 32766; dm 1; pv Rf1#;
1N3r2/q7/7b/pp1pkb2/4P1Pp/n2K3P/2r1B3/4R3 b - - acn 4; acs 0; bm Bxe4# Qd4# Qe3# dxe4#; ce 32766; dm 1; pv dxe4#;
1N3r2/8/P3q3/p4pN1/P4k2/1n1Q4/1B2p1R1/4K2R w - - acn 5; acs 0; bm Nh3# Nxe6# Qf3# Qg3# Rh4#; ce 32766; dm 1; pv Nh3#;
1N3r2/8/7N/8/8/6k1/8/7K b - - acn 1; acs 0; bm Rf1#; ce 32766; dm 1; pv Rf1#;
1N3r2/7k/5b2/3pR1Pp/6np/4pK2/r7/1q6 b - - acn 8; acs 0; bm Bxe5# Qf1# Rf2#; ce 32766; dm 1; pv Bxe5#;
1N3r2/6pk/3B1p1p/p2pr2P/P1Qb2b1/2P5/3p3P/R6K b - - acn 1; acs 0; bm Bf3#; ce 32766; dm 1; pv Bf3#;
1N3r2/6k1/2q5/K1p1p2p/3p3b/4p3/8/8 b - - acn 2; acs 0; bm Bd8# Be1#; ce 32766; dm 1; pv Bd8#;
1N3r2/5k1p/5pp1/2n2b2/p2p1K2/P4BPP/3p4/R4R2 b - - acn 2; acs 0; bm Nd3# Ne6#; ce 32766; dm 1; pv Nd3#;
1N3r2/4B3/6bp/PP3k2/6QK/3p3N/6r1/8 b - - acn 1; acs 0; bm Rxg4#; ce 32766; dm 1; pv Rxg4#;
1N3r2/1k6/5P1b/1N6/4p1p1/2PN3P/PBR1K1B1/2R2nq1 b - - acn 1; acs 0; bm Ng3#; ce 32766; dm 1; pv Ng3#;
1N3r1B/p4PnP/P2p2QR/4k2b/2ppPpR1/2P1PKP1/r7/8 w - - acn 15; acs 0; bm Bxg7# Nc6# Nd7# Qe6# Qf5# Qf6# Qg5# Qxd6# Qxg7# Qxh5# Rxh5# cxd4# exd4# exf4# gxf4#; ce 32766; dm 1; pv gxf4#;
1N3q2/8/2p2r2/1pk1K1n1/2p5/8/8/6b1 b - - acn 6; acs 0; bm Bd4# Bh2# Qd6# Qe7# Re6# Rf5#; ce 32766; dm 1; pv Bd4#;
1N3q2/5p1b/1p6/Rpk1P3/p1Br4/Kp1Q2r1/1n1p4/2b3B1 w - - acn 3; acs 0; bm Bxd4# Qxd4# Rxb5#; ce 32766; dm 1; pv Bxd4#;
1N3q2/5p1b/1p6/Rpk1P3/p1Br4/Kp1Q2r1/1n1p4/2b3B1 b - - acn 3; acs 0; bm Nd1# Nxc4# Nxd3#; ce 32766; dm 1; pv Nxc4#;
1N3q2/1r5p/1ppk4/p2b4/Pn4nP/N1P1P1PR/8/R2Q2K1 b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
1N3q1k/r4bbp/5p2/B1p5/1PP2NP1/4p2P/K7/2q5 b - - acn 2; acs 0; bm Bxc4#; ce 32766; dm 1; pv Bxc4#;
1N3q1k/8/2P5/1P1r4/6Pp/6nP/5P2/4K3 b - - acn 3; acs 0; bm Qb4# Qe7# Qe8#; ce 32766; dm 1; pv Qe7#;
1N3nr1/2p1kpp1/2n2pp1/3p4/r5PP/1q3N2/1PQPP1BP/1KB4R b - - acn 1; acs 0; bm Qa2#; ce 32766; dm 1; pv Qa2#;
1N3nn1/2r1R3/P1p2k1r/6N1/P2p1P2/1b6/1q4P1/1N3K2 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
1N3nk1/2r5/p6P/P7/3p1r2/3q4/8/4K3 b - - acn 3; acs 0; bm Rc1# Re7# Rf1#; ce 32766; dm 1; pv Rf1#;
1N3nR1/2p5/3k1P2/3bpP2/8/2P1PP1p/1B1K4/r4q2 b - - acn 1; acs 0; bm Qd1#; ce 32766; dm 1; pv Qd1#;
1N3n2/r3P2r/1pPBp1pn/pk2N2b/3PRp2/KPpR2p1/8/5B2 w - - acn 6; acs 0; bm Rf3#; ce 32766; dm 1; pv Rf3#;
1N3n2/B2p3n/N2Ppppr/4pqpr/4Pn1k/1N1R1K2/R5r1/2BBN2b b - - acn 4; acs 0; bm Qh3#; ce 32766; dm 1; pv Qh3#;
1N3n2/8/4P2p/p7/PP4p1/6k1/8/1rN4K b - - acn 1; acs 0; bm Rxc1#; ce 32766; dm 1; pv Rxc1#;
1N3n2/5N2/2P3p1/pQ1P1pP1/P4k2/K3R1RP/P7/B7 w - - acn 4; acs 0; bm Be5# Qc4# Qf1# Rgf3#; ce 32766; dm 1; pv Be5#;
1N3n2/3pPrpp/3Np1bq/BPk1Kp1P/5p2/1Q3p2/5P2/6b1 w - - acn 8; acs 0; bm Na6# Nb7# Qa3# Qb4# Qc2# Qc3# Qc4#; ce 32766; dm 1; pv Nb7#;
1N3n1r/6bn/5p2/3k1p1K/1B5P/6pq/1Q3PPr/2N1RB2 w - - acn 1; acs 0; bm Qd2#; ce 32766; dm 1; pv Qd2#;
1N3n1r/6bn/5p2/3k1p1K/1B5P/6pq/1Q3PPr/2N1RB2 b - - acn 3; acs 0; bm Ng5# Qg4# Qxh4#; ce 32766; dm 1; pv Ng5#;
1N3n1n/q6B/4k3/6b1/8/1p6/1P4p1/1KB2rr1 b - - acn 3; acs 0; bm Qa2# Rxc1#; ce 32766; dm 1; pv Rxc1#;
1N3kr1/5p2/1P1p1P2/3P2p1/6P1/1K6/4p3/2R2n2 w - - acn 1; acs 0; bm Rc8#; ce 32766; dm 1; pv Rc8#;
1N3knr/1Q1P4/2n3pp/2p1b1P1/p3p1P1/P2bP2P/R4K2/2q2RN1 b - - acn 1; acs 0; bm Qxf1#; ce 32766; dm 1; pv Qxf1#;
1N3knR/8/P4B2/2q5/7p/p6P/6PR/7K b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
1N3kn1/BR6/7p/1P1n4/Q1R5/1P1K4/P7/bN6 w - - acn 1; acs 0; bm Rc8#; ce 32766; dm 1; pv Rc8#;
1N3kb1/4R1pr/7n/1p3P1p/1B5P/2P5/2Q1KP2/5BNR w - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
1N3k2/n2P1P2/6K1/8/8/P7/8/3b4 w - - acn 1; acs 0; bm d8=Q#; ce 32766; dm 1; pv d8=Q#;
1N3k2/R7/4P3/6P1/1p6/1P6/4K3/7R w - - acn 1; acs 0; bm Rh8#; ce 32766; dm 1; pv Rh8#;
1N3k2/8/p4nQ1/5QR1/7p/5p1P/5N2/4n2K w - - acn 3; acs 0; bm Qc5# Qfxf6#; ce 32766; dm 1; pv Qfxf6#;
1N3k2/8/bb1P2Q1/PB2p3/1p4P1/P1PK3n/7P/4R3 w - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
1N3k2/8/8/2NPpP2/P3Pq2/4R2K/1r5P/8 b - - acn 1; acs 0; bm Rxh2#; ce 32766; dm 1; pv Rxh2#;
1N3k2/7p/1p1pb2b/pNQ1p2q/P2PP3/1P4K1/8/2R2r2 b - - acn 1; acs 0; bm Qh3#; ce 32766; dm 1; pv Qh3#;
1N3k2/7R/8/2P5/2br4/8/5Np1/2B1K2n b - - acn 2; acs 0; bm g1=Q# g1=R#; ce 32766; dm 1; pv g1=Q#;
1N3k2/7Q/3p2Pb/5P2/3P4/8/8/n2K2R1 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
1N3k2/7K/8/8/8/8/8/q6n b - - acn 1; acs 0; bm Qg7#; ce 32766; dm 1; pv Qg7#;
1N3k2/6r1/R7/4Pp1P/PPP2K2/4P3/7Q/R2q4 b - - acn 1; acs 0; bm Qg4#; ce 32766; dm 1; pv Qg4#;
1N3k2/6r1/BB1b1P1N/7p/P6P/3P2p1/8/2R1K3 w - - acn 1; acs 0; bm Rc8#; ce 32766; dm 1; pv Rc8#;
1N3k2/6r1/1p2QB2/4R2p/8/2b3PK/8/4R3 w - - acn 1; acs 0; bm Qe8#; ce 32766; dm 1; pv Qe8#;
1N3k2/6b1/4Q3/4RP1P/8/8/4K3/1Q6 w - - acn 3; acs 0; bm Nd7# Qb4# Qe8#; ce 32766; dm 1; pv Nd7#;
1N3k2/4r1n1/pBpp4/P3p2r/R1P5/4PpqR/7N/7K b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
1N3k2/4RP1K/4R3/8/8/5n2/8/8 w - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
1N3k2/3p1r1R/4nPp1/4P1P1/pp2P2P/2P5/8/2nKN3 w - - acn 1; acs 0; bm Rh8#; ce 32766; dm 1; pv Rh8#;
1N3k2/3R2p1/3P2K1/8/8/8/8/8 w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
1N3k2/2Q2p2/B2P2Pp/2p3pP/3B4/bp2P3/R2NP3/4KB2 w - - acn 3; acs 0; bm Qc8# Qd8# Qxf7#; ce 32766; dm 1; pv Qd8#;
1N3k2/2P2N2/5K1R/B4P2/1r2Q3/7N/6p1/5b2 w - - acn 3; acs 0; bm Rh8# c8=Q# c8=R#; ce 32766; dm 1; pv c8=Q#;
1N3k2/2P1p3/6Q1/pr5P/2P3p1/PPK2p2/1B3P2/R5R1 w - - acn 3; acs 0; bm Nd7# c8=Q# c8=R#; ce 32766; dm 1; pv c8=Q#;
1N3k2/1r1b1n1r/1q2pK2/6pP/pP1pNp2/5P2/3B2R1/1R5B b - - acn 2; acs 0; bm Rh6#; ce 32766; dm 1; pv Rh6#;
1N3k2/1p1b3p/2p2p2/p1r1p3/P2PK2R/6r1/2Pb4/1R6 b - - acn 2; acs 0; bm Re3# f5#; ce 32766; dm 1; pv f5#;
1N3k2/1R6/8/5K1P/8/5p2/8/2R5 w - - acn 1; acs 0; bm Rc8#; ce 32766; dm 1; pv Rc8#;
1N3k2/1R1R4/1K6/2P4P/8/6P1/8/8 w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
1N3k1r/p3p2p/b6b/6p1/P2pP1P1/1P1p3N/3q4/RK6 b - - acn 1; acs 0; bm Qc2#; ce 32766; dm 1; pv Qc2#;
1N3k1r/8/1P4Q1/7B/2PpP2K/8/8/4n1B1 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
1N3k1K/8/8/8/8/8/1p2R3/bQ6 w - - acn 2; acs 0; bm Qf1# Qf5#; ce 32766; dm 1; pv Qf5#;
1N3k1K/3n4/8/5P2/5p2/3bq2P/1n6/2R5 b - - acn 1; acs 0; bm Qxh3#; ce 32766; dm 1; pv Qxh3#;
1N3k1B/1Q6/1P3N2/7P/8/2n1B3/3K4/4n3 w - - acn 5; acs 0; bm Bc5# Bg7# Bh6# Qg7#; ce 32766; dm 1; pv Bg7#;
1N3bnr/1p2p3/p3kp1p/2p2rqb/N2PP3/5pP1/PBP4P/2RQKB1R b - - acn 2; acs 0; bm f2#; ce 32766; dm 1; pv f2#;
1N3bn1/P3p1r1/1k3p1p/1N3Pr1/2P5/3P1B1P/4KP2/R6R w - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
1N3bn1/4p1p1/4rkb1/pP1p1P2/1BBP1P2/p1P3p1/R2KQ2P/1Nr5 w - - acn 1; acs 0; bm Qxe6#; ce 32766; dm 1; pv Qxe6#;
1N3bn1/4k3/2p1Ppb1/1B1Q1Pp1/P2p1P2/R1P5/1B5r/4K1N1 w - - acn 1; acs 0; bm Qd7#; ce 32766; dm 1; pv Qd7#;
1N3bb1/rNp5/1kn4R/8/3n4/7r/1K1pq3/1R4B1 b - - acn 6; acs 0; bm Qb5# Ra2# Rb3# d1=Q# d1=R#; ce 32766; dm 1; pv d1=Q#;
1N3bQ1/1pPPk1p1/1P2pp2/2K2nrB/bBp1r3/8/1n6/8 w - - acn 4; acs 0; bm Qf7# d8=B# d8=Q#; ce 32766; dm 1; pv d8=Q#;
1N3bQ1/1pPPk1p1/1P2pp2/2K2nrB/bBp1r3/8/1n6/8 b - - acn 8; acs 0; bm Nd3# Nd4# Nd6# Ne3# Ng3# Nh4# Nh6# Re5#; ce 32766; dm 1; pv Nd6#;
1N3bB1/NR1bkPp1/1B2p2p/1pK1Q2r/r2pPn1p/p2qp3/3n4/8 w - - acn 4; acs 0; bm Nac6# Nbc6# Nc8# Rxd7#; ce 32766; dm 1; pv Nbc6#;
1N3bB1/NR1bkPp1/1B2p2p/1pK1Q2r/r2pPn1p/p2qp3/3n4/8 b - - acn 7; acs 0; bm Nb3# Nxe4# Qc2# Qc3# Qc4# Rc4# Rxe5#; ce 32766; dm 1; pv Nb3#;
1N3b2/p5p1/qrpn4/1pK1kPPQ/1P3R1p/3p3r/1N3P2/2B1n2b w - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
1N3b2/p5p1/qrpn4/1pK1kPPQ/1P3R1p/3p3r/1N3P2/2B1n2b b - - acn 7; acs 0; bm Nb7# Nc4# Nc8# Ne4# Ne8# Nf7# Nxf5#; ce 32766; dm 1; pv Nb7#;
1N3b2/p3p1p1/P3p1P1/KR2p1Q1/3k4/1Pnn1pN1/2P2P2/B2R4 w - - acn 7; acs 0; bm Nc6# Qe3# Qxe5# Rxd3#; ce 32766; dm 1; pv Nc6#;
1N3b2/p3k1n1/2R5/P7/8/8/1r5p/4K3 b - - acn 2; acs 0; bm h1=Q# h1=R#; ce 32766; dm 1; pv h1=Q#;
1N3b2/npk5/2b5/p1P2R1p/P1P1r3/2q5/1B3KP1/2R2B2 b - - acn 2; acs 0; bm Qe3#; ce 32766; dm 1; pv Qe3#;
1N3b2/PPB1k1N1/2pR4/6PP/P1BQ2p1/Kp6/1Pp3P1/n1R5 w - - acn 9; acs 0; bm Bd8# Nxc6# Qe3# Qe4# Qe5# Qf6# Rd7# Re1#; ce 32766; dm 1; pv Nxc6#;
1N3b2/8/b4p1p/p4p1k/BP2pP2/2P1P2K/R2r4/3R4 w - - acn 1; acs 0; bm Be8#; ce 32766; dm 1; pv Be8#;
